Date,Collect,Feast,Color
01-01,"Almighty God, who madest thy blessed Son to be circumcised, and obedient to the law for man: Grant us the true circumcision of the Spirit; that, our hearts, and all our members, being mortified from all worldly and carnal lusts, we may in all things obey thy blessed will; through the same thy Son Jesus Christ our Lord. Amen.",The Circumcision of our Lord,White
01-02,"Almighty God, who madest thy blessed Son to be circumcised, and obedient to the law for man: Grant us the true circumcision of the Spirit; that, our hearts, and all our members, being mortified from all worldly and carnal lusts, we may in all things obey thy blessed will; through the same thy Son Jesus Christ our Lord. Amen.",The Ninth Day of Christmas,White
01-03,"Almighty God, who madest thy blessed Son to be circumcised and obedient to the law for man: Grant us the true circumcision of the Spirit, that, our hearts and all our members being mortified from all worldly and carnal lusts, we may in all things obey thy blessed will, through the same thy Son Jesus Christ our Lord. Amen.",The Tenth Day of Christmas,White
01-04,"Almighty God, who madest thy blessed Son to be circumcised and obedient to the law for man: Grant us the true circumcision of the Spirit, that, our hearts and all our members being mortified from all worldly and carnal lusts, we may in all things obey thy blessed will, through the same thy Son Jesus Christ our Lord. Amen.",The Second Sunday after Christmas,White
01-05,"Almighty God, who madest thy blessed Son to be circumcised and obedient to the law for man: Grant us the true circumcision of the Spirit, that, our hearts and all our members being mortified from all worldly and carnal lusts, we may in all things obey thy blessed will, through the same thy Son Jesus Christ our Lord. Amen.",The Last Day of Christmas (Twelfth Night),White
01-06,"O God, who by the leading of a star didst manifest thy only-begotten Son to the Gentiles: Mercifully grant that we, who know thee now by faith, may after this life have the fruition of thy glorious godhead, through Jesus Christ our Lord. Amen.",The Epiphany of our Lord,White
01-07,"O God, who by the leading of a star didst manifest thy only-begotten Son to the Gentiles: Mercifully grant that we, who know thee now by faith, may after this life have the fruition of thy glorious godhead, through Jesus Christ our Lord. Amen.",The Wednesday After Epiphany,Green
01-08,"O God, who by the leading of a star didst manifest thy only-begotten Son to the Gentiles: Mercifully grant that we, who know thee now by faith, may after this life have the fruition of thy glorious godhead, through Jesus Christ our Lord. Amen.",The Thursday After Epiphany,Green
01-09,"O God, who by the leading of a star didst manifest thy only-begotten Son to the Gentiles: Mercifully grant that we, who know thee now by faith, may after this life have the fruition of thy glorious godhead, through Jesus Christ our Lord. Amen.",The Friday After Epiphany,Green
01-10,"O God, who by the leading of a star didst manifest thy only-begotten Son to the Gentiles: Mercifully grant that we, who know thee now by faith, may after this life have the fruition of thy glorious godhead, through Jesus Christ our Lord. Amen.",The Saturday After Epiphany,Green
01-11,"O Lord, we beseech thee mercifully to receive the prayers of thy people who call upon thee, and grant that they may both perceive and know what things they ought to do, and also may have grace and power faithfully to fulfil the same, through Jesus Christ our Lord. Amen.",The First Sunday after the Epiphany,Green
01-12,"O Lord, we beseech thee mercifully to receive the prayers of thy people who call upon thee, and grant that they may both perceive and know what things they ought to do, and also may have grace and power faithfully to fulfil the same, through Jesus Christ our Lord. Amen.",The Monday in the First Week After Epiphany,Green
01-13,"O Lord, we beseech thee mercifully to receive the prayers of thy people who call upon thee, and grant that they may both perceive and know what things they ought to do, and also may have grace and power faithfully to fulfil the same, through Jesus Christ our Lord. Amen.",The Tuesday in the First Week After Epiphany,Green
01-14,"O Lord, we beseech thee mercifully to receive the prayers of thy people who call upon thee, and grant that they may both perceive and know what things they ought to do, and also may have grace and power faithfully to fulfil the same, through Jesus Christ our Lord. Amen.",The Wednesday in the First Week After Epiphany,Green
01-15,"O Lord, we beseech thee mercifully to receive the prayers of thy people who call upon thee, and grant that they may both perceive and know what things they ought to do, and also may have grace and power faithfully to fulfil the same, through Jesus Christ our Lord. Amen.",The Thursday in the First Week After Epiphany,Green
01-16,"O Lord, we beseech thee mercifully to receive the prayers of thy people who call upon thee, and grant that they may both perceive and know what things they ought to do, and also may have grace and power faithfully to fulfil the same, through Jesus Christ our Lord. Amen.",The Friday in the First Week After Epiphany,Green
01-17,"O Lord, we beseech thee mercifully to receive the prayers of thy people who call upon thee, and grant that they may both perceive and know what things they ought to do, and also may have grace and power faithfully to fulfil the same, through Jesus Christ our Lord. Amen.",The Saturday in the First Week After Epiphany,Green
01-18,"Almighty and everlasting God, who dost govern all things in heaven and earth: Mercifully hear the supplications of thy people, and grant us thy peace all the days of our life, through Jesus Christ our Lord. Amen.",The Second Sunday after the Epiphany,Green
01-19,"Almighty and everlasting God, who dost govern all things in heaven and earth: Mercifully hear the supplications of thy people, and grant us thy peace all the days of our life, through Jesus Christ our Lord. Amen.",The Monday in the Second Week After Epiphany,Green
01-20,"Almighty and everlasting God, who dost govern all things in heaven and earth: Mercifully hear the supplications of thy people, and grant us thy peace all the days of our life, through Jesus Christ our Lord. Amen.",The Tuesday in the Second Week After Epiphany,Green
01-21,"Almighty and everlasting God, who dost govern all things in heaven and earth: Mercifully hear the supplications of thy people, and grant us thy peace all the days of our life, through Jesus Christ our Lord. Amen.",The Wednesday in the Second Week After Epiphany,Green
01-22,"Almighty and everlasting God, who dost govern all things in heaven and earth: Mercifully hear the supplications of thy people, and grant us thy peace all the days of our life, through Jesus Christ our Lord. Amen.",The Thursday in the Second Week After Epiphany,Green
01-23,"Almighty and everlasting God, who dost govern all things in heaven and earth: Mercifully hear the supplications of thy people, and grant us thy peace all the days of our life, through Jesus Christ our Lord. Amen.",The Friday in the Second Week After Epiphany,Green
01-24,"Almighty and everlasting God, who dost govern all things in heaven and earth: Mercifully hear the supplications of thy people, and grant us thy peace all the days of our life, through Jesus Christ our Lord. Amen.",The Saturday in the Second Week After Epiphany,Green
01-25,"O God, who, through the preaching of the blessed apostle Saint Paul, hast caused the light of the gospel to shine throughout the world: Grant, we beseech thee, that we, having his wonderful conversion in remembrance, may show forth our thankfulness unto thee for the same, by following the holy doctrine which he taught, through Jesus Christ our Lord. Amen.",The Conversion of Saint Paul,White
01-26,"Almighty and everlasting God, mercifully look upon our infirmities, and in all our dangers and necessities stretch forth thy right hand to help and defend us, through Jesus Christ our Lord. Amen.",The Monday in the Third Week After Epiphany,Green
01-27,"Almighty and everlasting God, mercifully look upon our infirmities, and in all our dangers and necessities stretch forth thy right hand to help and defend us, through Jesus Christ our Lord. Amen.",The Tuesday in the Third Week After Epiphany,Green
01-28,"Almighty and everlasting God, mercifully look upon our infirmities, and in all our dangers and necessities stretch forth thy right hand to help and defend us, through Jesus Christ our Lord. Amen.",The Wednesday in the Third Week After Epiphany,Green
01-29,"Almighty and everlasting God, mercifully look upon our infirmities, and in all our dangers and necessities stretch forth thy right hand to help and defend us, through Jesus Christ our Lord. Amen.",The Thursday in the Third Week After Epiphany,Green
01-30,"Almighty and everlasting God, mercifully look upon our infirmities, and in all our dangers and necessities stretch forth thy right hand to help and defend us, through Jesus Christ our Lord. Amen.",The Friday in the Third Week After Epiphany,Green
01-31,"Almighty and everlasting God, mercifully look upon our infirmities, and in all our dangers and necessities stretch forth thy right hand to help and defend us, through Jesus Christ our Lord. Amen.",The Saturday in the Third Week After Epiphany,Green
